Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n449-k29;55233;56680;2.6198;56618;2.5076;56575;2.4297;56506;2.3048;56688;2.6343
X-n459-k26;24139;24658;2.15;24708;2.3572;24546;1.6861;24522;1.5866;24542;1.6695
X-n469-k138;221824;224433;1.1762;223072;0.5626;223797;0.8894;223779;0.8813;223934;0.9512
X-n480-k70;89449;90128;0.7591;90101;0.7289;89999;0.6149;90256;0.9022;90422;1.0878
X-n491-k59;66487;68064;2.3719;67652;1.7522;67651;1.7507;67516;1.5477;67685;1.8019
X-n502-k39;69226;69465;0.3452;69443;0.3135;69381;0.2239;69320;0.1358;69391;0.2383
X-n513-k21;24201;24464;1.0867;24581;1.5702;24566;1.5082;24503;1.2479;24616;1.7148
X-n524-k153;154593;154852;0.1675;154723;0.0841;154861;0.1734;154942;0.2258;154723;0.0841
X-n536-k96;94868;96316;1.5263;96326;1.5369;97480;2.7533;96985;2.2315;97583;2.8619
X-n548-k50;86700;87120;0.4844;86997;0.3426;87094;0.4544;87056;0.4106;87084;0.4429
X-n561-k42;42717;43095;0.8849;43105;0.9083;43257;1.2641;43085;0.8615;43247;1.2407
X-n573-k30;50673;51167;0.9749;51530;1.6912;51269;1.1762;51084;0.8111;51060;0.7637
X-n586-k159;190316;192315;1.0504;191445;0.5932;191762;0.7598;191678;0.7157;191660;0.7062
X-n599-k92;108451;110123;1.5417;110222;1.633;110061;1.4845;110062;1.4855;109971;1.4016
X-n613-k62;59535;60431;1.505;60428;1.5;60652;1.8762;60730;2.0072;60406;1.463
X-n627-k43;62164;63579;2.2762;63010;1.3609;63032;1.3963;63117;1.533;63682;2.4419
X-n641-k35;63694;64668;1.5292;64632;1.4727;64708;1.592;64819;1.7663;64847;1.8102
X-n655-k131;106780;107049;0.2519;107112;0.3109;107057;0.2594;107018;0.2229;107016;0.221
X-n670-k130;146332;147744;0.9649;147240;0.6205;147763;0.9779;147596;0.8638;147690;0.928
X-n685-k75;68205;69137;1.3665;69346;1.6729;69589;2.0292;69262;1.5497;69540;1.9573
X-n701-k44;81923;83616;2.0666;83114;1.4538;83396;1.798;83206;1.5661;82536;0.7483
X-n716-k35;43387;44068;1.5696;44149;1.7563;44613;2.8257;44214;1.9061;44500;2.5653
X-n733-k159;136190;137125;0.6865;137197;0.7394;137272;0.7945;137226;0.7607;137231;0.7644
X-n749-k98;77314;78917;2.0734;78797;1.9182;78911;2.0656;78635;1.7086;78818;1.9453
X-n766-k71;114454;116063;1.4058;116586;1.8628;116200;1.5255;116562;1.8418;116203;1.5281
X-n783-k48;72394;74137;2.4077;73870;2.0388;73860;2.025;73974;2.1825;73826;1.9781
X-n801-k40;73305;73957;0.8894;74085;1.064;73748;0.6043;73956;0.8881;74194;1.2127
X-n819-k171;158121;160198;1.3136;159993;1.1839;161214;1.9561;159978;1.1744;160411;1.4483
X-n837-k142;193737;195588;0.9554;195534;0.9275;196078;1.2083;195729;1.0282;195484;0.9017
X-n856-k95;88965;89540;0.6463;89413;0.5036;89735;0.8655;89527;0.6317;89540;0.6463
X-n876-k59;99299;100922;1.6345;100544;1.2538;100906;1.6183;100795;1.5066;100832;1.5438
X-n895-k37;53860;56742;5.3509;57032;5.8893;57007;5.8429;57032;5.8893;55974;3.925
X-n916-k207;329179;331932;0.8363;331635;0.7461;331658;0.7531;331121;0.59;332160;0.9056
X-n936-k151;132725;134582;1.3991;134078;1.0194;134036;0.9878;134169;1.088;134243;1.1437
X-n957-k87;85465;86173;0.8284;86300;0.977;86282;0.9559;85953;0.571;86019;0.6482
X-n979-k58;118987;121395;2.0238;122525;2.9734;121594;2.191;122346;2.823;121433;2.0557
X-n1001-k43;72359;74239;2.5982;73930;2.1711;74334;2.7294;73867;2.0841;74337;2.7336
