Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n449-k29;55233;56237;1.8178;56339;2.0024;56162;1.682;56311;1.9517;56124;1.6132
X-n459-k26;24139;24480;1.4127;24472;1.3795;24749;2.527;24690;2.2826;24518;1.5701
X-n469-k138;221824;227789;2.6891;227978;2.7743;228265;2.9037;228947;3.2111;228662;3.0826
X-n480-k70;89449;90342;0.9983;90532;1.2107;90318;0.9715;90288;0.938;90533;1.2119
X-n491-k59;66487;67601;1.6755;67513;1.5432;67424;1.4093;67580;1.6439;67426;1.4123
X-n502-k39;69226;69353;0.1835;69395;0.2441;69396;0.2456;69416;0.2745;69351;0.1806
X-n513-k21;24201;24613;1.7024;24654;1.8718;24627;1.7603;24622;1.7396;24577;1.5537
X-n524-k153;154593;155957;0.8823;155769;0.7607;156135;0.9975;156049;0.9418;156168;1.0188
X-n536-k96;94868;97385;2.6532;96972;2.2178;97025;2.2737;97428;2.6985;97151;2.4065
X-n548-k50;86700;87205;0.5825;87123;0.4879;87171;0.5433;87246;0.6298;87287;0.677
X-n561-k42;42717;43211;1.1564;43072;0.8311;43156;1.0277;43155;1.0254;43160;1.0371
X-n573-k30;50673;51262;1.1624;51285;1.2077;51306;1.2492;51166;0.9729;51176;0.9926
X-n586-k159;190316;192392;1.0908;192392;1.0908;192553;1.1754;192183;0.981;192294;1.0393
X-n599-k92;108451;115146;6.1733;114900;5.9465;115477;6.4785;114557;5.6302;114564;5.6366
X-n613-k62;59535;60706;1.9669;60690;1.94;60670;1.9064;60411;1.4714;60700;1.9568
X-n627-k43;62164;62987;1.3239;63209;1.681;63197;1.6617;62985;1.3207;63067;1.4526
X-n641-k35;63694;64565;1.3675;64445;1.1791;64571;1.3769;64545;1.3361;64678;1.5449
X-n655-k131;106780;107018;0.2229;107008;0.2135;106975;0.1826;106922;0.133;106967;0.1751
X-n670-k130;146332;149668;2.2797;148974;1.8055;149722;2.3166;149355;2.0659;149052;1.8588
X-n685-k75;68205;69726;2.23;69664;2.1391;69677;2.1582;69598;2.0424;69577;2.0116
X-n701-k44;81923;82781;1.0473;82950;1.2536;82988;1.3;82716;0.968;82971;1.2793
X-n716-k35;43387;44055;1.5396;44006;1.4267;43971;1.346;44107;1.6595;44019;1.4567
X-n733-k159;136190;138130;1.4245;138059;1.3723;138526;1.7153;137579;1.0199;138042;1.3599
X-n749-k98;77314;78807;1.9311;78615;1.6827;78696;1.7875;78710;1.8056;78727;1.8276
X-n766-k71;114454;116301;1.6137;116415;1.7134;116627;1.8986;116596;1.8715;116548;1.8296
X-n783-k48;72394;73701;1.8054;73743;1.8634;73769;1.8993;74008;2.2295;73778;1.9118
X-n801-k40;73305;74215;1.2414;74233;1.2659;74350;1.4256;74160;1.1664;74074;1.049
X-n819-k171;158121;161182;1.9359;163060;3.1236;162797;2.9572;162711;2.9028;162836;2.9819
X-n837-k142;193737;196099;1.2192;196102;1.2207;196218;1.2806;196156;1.2486;196052;1.1949
X-n856-k95;88965;89545;0.6519;89632;0.7497;89543;0.6497;89660;0.7812;89681;0.8048
X-n876-k59;99299;100305;1.0131;100191;0.8983;100138;0.8449;100538;1.2477;100178;0.8852
X-n895-k37;53860;55618;3.264;55997;3.9677;56085;4.1311;56006;3.9844;55795;3.5926
X-n916-k207;329179;332287;0.9442;332122;0.894;332574;1.0314;332590;1.0362;332917;1.1356
X-n936-k151;132725;139785;5.3193;140592;5.9273;140162;5.6033;140692;6.0026;140203;5.6342
X-n957-k87;85465;86166;0.8202;86295;0.9712;86246;0.9138;86275;0.9478;86167;0.8214
X-n979-k58;118987;119973;0.8287;119963;0.8203;120073;0.9127;119941;0.8018;120077;0.9161
X-n1001-k43;72359;73809;2.0039;73860;2.0744;73784;1.9693;73372;1.4;73618;1.7399
