Instance;Optimal;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
XML100_3231_25;56531;57652;1.98298;57652;1.98298;57652;1.98298;57652;1.98298;57652;1.98298
XML100_3251_01;44697;45292;1.33119;45292;1.33119;45086;0.870304;45086;0.870304;45292;1.33119
XML100_3251_05;47312;48168;1.80927;48168;1.80927;48168;1.80927;48168;1.80927;48168;1.80927
XML100_3251_06;45450;46017;1.24752;46017;1.24752;46017;1.24752;46017;1.24752;46017;1.24752
XML100_3251_12;31949;32547;1.87173;32266;0.992206;32266;0.992206;32266;0.992206;32547;1.87173
XML100_3251_16;57158;58872;2.99871;58872;2.99871;58872;2.99871;58872;2.99871;58872;2.99871
XML100_3251_18;35927;36440;1.4279;36440;1.4279;36440;1.4279;36440;1.4279;36440;1.4279
XML100_3251_25;39495;40116;1.57235;40116;1.57235;40116;1.57235;40116;1.57235;40116;1.57235
XML100_3252_07;30901;31051;0.485421;31051;0.485421;31051;0.485421;31051;0.485421;31051;0.485421
XML100_3252_10;27078;27375;1.09683;27375;1.09683;27375;1.09683;27375;1.09683;27375;1.09683
XML100_3271_02;37503;38402;2.39714;38402;2.39714;38402;2.39714;38402;2.39714;38402;2.39714
XML100_3331_05;51526;51532;0.0116446;51532;0.0116446;51532;0.0116446;51532;0.0116446;51532;0.0116446
XML100_3351_03;40817;41374;1.36463;41374;1.36463;41374;1.36463;41374;1.36463;41374;1.36463
XML100_3351_06;32569;32807;0.730756;32807;0.730756;32807;0.730756;32807;0.730756;32807;0.730756
XML100_3351_08;56613;57308;1.22763;57308;1.22763;57308;1.22763;57308;1.22763;57308;1.22763
XML100_3351_13;59961;60424;0.772169;60424;0.772169;60424;0.772169;60424;0.772169;60424;0.772169
XML100_3351_14;56053;56776;1.28985;56776;1.28985;56776;1.28985;56776;1.28985;56776;1.28985
XML100_3351_16;56165;56318;0.272412;56318;0.272412;56318;0.272412;56318;0.272412;56318;0.272412
XML100_3376_15;8780;8895;1.30979;8895;1.30979;8895;1.30979;8895;1.30979;8895;1.30979
XML100_3376_18;10184;10222;0.373134;10204;0.196386;10222;0.373134;10204;0.196386;10222;0.373134
