Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n573-k30;50673;51213;1.0657;51213;1.0657;51213;1.0657;51213;1.0657;51205;1.0499
X-n586-k159;190316;193339;1.5884;193346;1.5921;193346;1.5921;193346;1.5921;193305;1.5705
X-n599-k92;108451;109871;1.3093;109871;1.3093;109871;1.3093;109871;1.3093;109871;1.3093
X-n613-k62;59535;60184;1.0901;60184;1.0901;60184;1.0901;60184;1.0901;60184;1.0901
X-n627-k43;62164;62974;1.303;62974;1.303;62974;1.303;62974;1.303;62974;1.303
X-n641-k35;63694;64452;1.1901;64452;1.1901;64452;1.1901;64452;1.1901;64452;1.1901
X-n655-k131;106780;107003;0.2088;107003;0.2088;107003;0.2088;107003;0.2088;107003;0.2088
X-n670-k130;146332;150064;2.5504;150064;2.5504;150064;2.5504;150064;2.5504;150064;2.5504
X-n685-k75;68205;68981;1.1377;68980;1.1363;68980;1.1363;68980;1.1363;68980;1.1363
X-n701-k44;81923;83008;1.3244;83008;1.3244;83008;1.3244;83008;1.3244;83006;1.322
X-n716-k35;43387;43996;1.4036;43998;1.4083;43990;1.3898;43998;1.4083;43990;1.3898
X-n733-k159;136190;137168;0.7181;137168;0.7181;137168;0.7181;137168;0.7181;137168;0.7181
X-n749-k98;77314;78228;1.1822;78228;1.1822;78228;1.1822;78228;1.1822;78228;1.1822
X-n766-k71;114454;115558;0.9646;115558;0.9646;115558;0.9646;115558;0.9646;115558;0.9646
X-n783-k48;72394;73559;1.6092;73566;1.6189;73566;1.6189;73559;1.6092;73559;1.6092
X-n801-k40;73305;73615;0.4229;73615;0.4229;73615;0.4229;73615;0.4229;73615;0.4229
X-n819-k171;158121;161315;2.02;161315;2.02;161315;2.02;161315;2.02;161282;1.9991
X-n837-k142;193737;196005;1.1707;196005;1.1707;196005;1.1707;196005;1.1707;196005;1.1707
X-n856-k95;88965;89491;0.5912;89491;0.5912;89491;0.5912;89491;0.5912;89491;0.5912
X-n876-k59;99299;100475;1.1843;100475;1.1843;100475;1.1843;100475;1.1843;100467;1.1762
X-n895-k37;53860;54502;1.192;54502;1.192;54502;1.192;54502;1.192;54497;1.1827
X-n916-k207;329179;333651;1.3585;333651;1.3585;333651;1.3585;333651;1.3585;333651;1.3585
X-n936-k151;132725;134696;1.485;134700;1.488;134700;1.488;134700;1.488;134696;1.485
X-n957-k87;85465;85884;0.4903;85884;0.4903;85884;0.4903;85884;0.4903;85884;0.4903
X-n979-k58;118987;119653;0.5597;119653;0.5597;119653;0.5597;119653;0.5597;119653;0.5597
X-n1001-k43;72359;73696;1.8477;73696;1.8477;73696;1.8477;73696;1.8477;73696;1.8477
