Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n101-k25;27591;27591;0;27591;0;27591;0;27591;0;27591;0
X-n106-k14;26362;26381;0.0721;26381;0.0721;26381;0.0721;26381;0.0721;26381;0.0721
X-n110-k13;14971;14971;0;14971;0;14971;0;14971;0;14971;0
X-n115-k10;12747;12747;0;12747;0;12747;0;12747;0;12747;0
X-n120-k6;13332;13332;0;13332;0;13332;0;13332;0;13332;0
X-n125-k30;55539;56284;1.3414;56284;1.3414;56284;1.3414;56284;1.3414;56284;1.3414
X-n129-k18;28940;28954;0.0484;28954;0.0484;28954;0.0484;28954;0.0484;28954;0.0484
X-n134-k13;10916;10916;0;10916;0;10916;0;10916;0;10916;0
X-n139-k10;13590;13590;0;13590;0;13590;0;13590;0;13590;0
X-n143-k7;15700;15873;1.1019;15873;1.1019;15873;1.1019;15873;1.1019;15873;1.1019
X-n148-k46;43448;43694;0.5662;43694;0.5662;43694;0.5662;43694;0.5662;43694;0.5662
X-n153-k22;21220;21380;0.754;21380;0.754;21380;0.754;21380;0.754;21380;0.754
X-n157-k13;16876;16876;0;16876;0;16876;0;16876;0;16876;0
X-n162-k11;14138;14171;0.2334;14171;0.2334;14171;0.2334;14171;0.2334;14171;0.2334
X-n167-k10;20557;20609;0.253;20609;0.253;20609;0.253;20609;0.253;20609;0.253
X-n172-k51;45607;45717;0.2412;45717;0.2412;45717;0.2412;45717;0.2412;45717;0.2412
X-n176-k26;47812;47921;0.228;47921;0.228;47921;0.228;47921;0.228;47921;0.228
X-n181-k23;25569;25630;0.2386;25630;0.2386;25630;0.2386;25630;0.2386;25630;0.2386
X-n186-k15;24145;24228;0.3438;24228;0.3438;24228;0.3438;24228;0.3438;24228;0.3438
X-n190-k8;16980;17023;0.2532;17023;0.2532;17023;0.2532;17023;0.2532;17023;0.2532
X-n195-k51;44225;44420;0.4409;44420;0.4409;44420;0.4409;44420;0.4409;44420;0.4409
X-n200-k36;58578;59757;2.0127;59757;2.0127;59757;2.0127;59757;2.0127;59757;2.0127
X-n204-k19;19565;19748;0.9353;19748;0.9353;19748;0.9353;19748;0.9353;19748;0.9353
X-n209-k16;30656;30748;0.3001;30748;0.3001;30748;0.3001;30748;0.3001;30748;0.3001
X-n214-k11;10856;11073;1.9989;11073;1.9989;11073;1.9989;11073;1.9989;11073;1.9989
X-n219-k73;117595;117707;0.0952;117707;0.0952;117707;0.0952;117707;0.0952;117707;0.0952
X-n223-k34;40437;40645;0.5144;40645;0.5144;40645;0.5144;40645;0.5144;40645;0.5144
X-n228-k23;25742;25812;0.2719;25812;0.2719;25812;0.2719;25812;0.2719;25812;0.2719
X-n233-k16;19230;19296;0.3432;19296;0.3432;19296;0.3432;19296;0.3432;19296;0.3432
X-n237-k14;27042;27155;0.4179;27155;0.4179;27155;0.4179;27155;0.4179;27155;0.4179
X-n242-k48;82751;83300;0.6634;83300;0.6634;83300;0.6634;83300;0.6634;83300;0.6634
X-n247-k50;37274;37635;0.9685;37635;0.9685;37635;0.9685;37635;0.9685;37635;0.9685
X-n251-k28;38684;38960;0.7135;38960;0.7135;38960;0.7135;38960;0.7135;38960;0.7135
X-n256-k16;18839;18880;0.2176;18880;0.2176;18880;0.2176;18880;0.2176;18880;0.2176
X-n261-k13;26558;26905;1.3066;26905;1.3066;26905;1.3066;26905;1.3066;26905;1.3066
X-n266-k58;75478;76210;0.9698;76210;0.9698;76210;0.9698;76210;0.9698;76210;0.9698
X-n270-k35;35291;35574;0.8019;35574;0.8019;35574;0.8019;35574;0.8019;35574;0.8019
X-n275-k28;21245;21302;0.2683;21302;0.2683;21302;0.2683;21302;0.2683;21302;0.2683
X-n280-k17;33503;33815;0.9313;33815;0.9313;33815;0.9313;33815;0.9313;33815;0.9313
X-n284-k15;20215;20415;0.9894;20415;0.9894;20415;0.9894;20415;0.9894;20415;0.9894
X-n289-k60;95151;95897;0.784;95897;0.784;95897;0.784;95897;0.784;95897;0.784
X-n294-k50;47161;47475;0.6658;47475;0.6658;47475;0.6658;47475;0.6658;47475;0.6658
X-n298-k31;34231;34463;0.6777;34463;0.6777;34463;0.6777;34463;0.6777;34463;0.6777
X-n303-k21;21736;21955;1.0075;21955;1.0075;21955;1.0075;21955;1.0075;21955;1.0075
X-n308-k13;25859;26198;1.311;26198;1.311;26198;1.311;26198;1.311;26198;1.311
X-n313-k71;94043;95153;1.1803;95153;1.1803;95153;1.1803;95153;1.1803;95153;1.1803
X-n317-k53;78355;78501;0.1863;78501;0.1863;78501;0.1863;78501;0.1863;78501;0.1863
X-n322-k28;29834;30196;1.2134;30196;1.2134;30196;1.2134;30196;1.2134;30196;1.2134
X-n327-k20;27532;27811;1.0134;27811;1.0134;27811;1.0134;27811;1.0134;27811;1.0134
X-n331-k15;31102;31208;0.3408;31208;0.3408;31208;0.3408;31208;0.3408;31208;0.3408
X-n336-k84;139111;140612;1.079;140612;1.079;140612;1.079;140612;1.079;140612;1.079
X-n344-k43;42050;42489;1.044;42489;1.044;42489;1.044;42489;1.044;42489;1.044
X-n351-k40;25896;26178;1.089;26178;1.089;26178;1.089;26178;1.089;26178;1.089
X-n359-k29;51505;51829;0.6291;51829;0.6291;51829;0.6291;51829;0.6291;51829;0.6291
X-n367-k17;22814;23086;1.1923;23086;1.1923;23086;1.1923;23086;1.1923;23086;1.1923
X-n376-k94;147713;147906;0.1307;147906;0.1307;147906;0.1307;147906;0.1307;147906;0.1307
X-n384-k52;65940;66360;0.6369;66360;0.6369;66360;0.6369;66360;0.6369;66360;0.6369
X-n393-k38;38260;38596;0.8782;38596;0.8782;38596;0.8782;38596;0.8782;38596;0.8782
X-n401-k29;66163;66593;0.6499;66593;0.6499;66593;0.6499;66593;0.6499;66593;0.6499
X-n411-k19;19712;20004;1.4813;20004;1.4813;20004;1.4813;20000;1.461;20000;1.461
X-n420-k130;107798;108316;0.4805;108316;0.4805;108316;0.4805;108316;0.4805;108316;0.4805
X-n429-k61;65449;66275;1.2621;66275;1.2621;66275;1.2621;66275;1.2621;66275;1.2621
X-n439-k37;36391;36523;0.3627;36523;0.3627;36523;0.3627;36523;0.3627;36523;0.3627
X-n449-k29;55233;55916;1.2366;55916;1.2366;55916;1.2366;55916;1.2366;55916;1.2366
X-n459-k26;24139;24798;2.73;24798;2.73;24798;2.73;24798;2.73;24798;2.73
X-n469-k138;221824;225431;1.6261;225431;1.6261;225431;1.6261;225322;1.5769;225322;1.5769
X-n480-k70;89449;90054;0.6764;90058;0.6808;90058;0.6808;90054;0.6764;90054;0.6764
X-n491-k59;66487;67098;0.919;67098;0.919;67098;0.919;67098;0.919;67098;0.919
X-n502-k39;69226;69328;0.1473;69328;0.1473;69328;0.1473;69328;0.1473;69328;0.1473
X-n513-k21;24201;24467;1.0991;24467;1.0991;24467;1.0991;24467;1.0991;24467;1.0991
X-n524-k153;154593;156766;1.4056;156766;1.4056;156766;1.4056;156766;1.4056;156766;1.4056
X-n536-k96;94868;95869;1.0552;95869;1.0552;95869;1.0552;95859;1.0446;95859;1.0446
X-n548-k50;86700;87059;0.4141;87059;0.4141;87059;0.4141;87059;0.4141;87059;0.4141
X-n561-k42;42717;43086;0.8638;43086;0.8638;43086;0.8638;43086;0.8638;43086;0.8638
