Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n561-k42;42717;43086;0.8638;43086;0.8638;43086;0.8638;43086;0.8638;43086;0.8638
X-n573-k30;50673;51225;1.0893;51192;1.0242;51194;1.0282;51194;1.0282;51194;1.0282
X-n586-k159;190316;192920;1.3683;192925;1.3709;192922;1.3693;192922;1.3693;192922;1.3693
X-n599-k92;108451;109859;1.2983;109859;1.2983;109859;1.2983;109859;1.2983;109859;1.2983
X-n613-k62;59535;60231;1.1691;60231;1.1691;60177;1.0784;60182;1.0868;60231;1.1691
X-n627-k43;62164;63148;1.5829;63148;1.5829;63148;1.5829;63148;1.5829;63148;1.5829
X-n641-k35;63694;64461;1.2042;64461;1.2042;64461;1.2042;64461;1.2042;64461;1.2042
X-n655-k131;106780;107028;0.2323;107028;0.2323;107033;0.2369;107028;0.2323;107028;0.2323
X-n670-k130;146332;150031;2.5278;150031;2.5278;150031;2.5278;150031;2.5278;150031;2.5278
X-n685-k75;68205;69051;1.2404;69051;1.2404;69051;1.2404;69050;1.2389;69050;1.2389
X-n701-k44;81923;83097;1.4331;83097;1.4331;83097;1.4331;83097;1.4331;83097;1.4331
X-n716-k35;43387;43990;1.3898;43959;1.3184;43997;1.406;43994;1.399;43978;1.3622
X-n733-k159;136190;137219;0.7556;137219;0.7556;137219;0.7556;137219;0.7556;137219;0.7556
X-n749-k98;77314;78339;1.3258;78339;1.3258;78339;1.3258;78336;1.3219;78339;1.3258
X-n766-k71;114454;115605;1.0056;115611;1.0109;115605;1.0056;115602;1.003;115617;1.0161
X-n783-k48;72394;73753;1.8772;73759;1.8855;73738;1.8565;73765;1.8938;73753;1.8772
X-n801-k40;73305;73724;0.5716;73724;0.5716;73701;0.5402;73724;0.5716;73724;0.5716
X-n819-k171;158121;160986;1.8119;161005;1.8239;161005;1.8239;160986;1.8119;160986;1.8119
X-n837-k142;193737;196406;1.3776;196406;1.3776;196410;1.3797;196406;1.3776;196476;1.4138
X-n856-k95;88965;89441;0.535;89441;0.535;89441;0.535;89441;0.535;89441;0.535
X-n876-k59;99299;100562;1.2719;100562;1.2719;100562;1.2719;100562;1.2719;100562;1.2719
X-n895-k37;53860;54502;1.192;54502;1.192;54502;1.192;54502;1.192;54500;1.1883
X-n916-k207;329179;334473;1.6082;334473;1.6082;334473;1.6082;334473;1.6082;334473;1.6082
X-n936-k151;132725;135158;1.8331;135158;1.8331;135158;1.8331;135161;1.8354;135158;1.8331
X-n957-k87;85465;85885;0.4914;85885;0.4914;85885;0.4914;85885;0.4914;85881;0.4867
X-n979-k58;118987;119671;0.5749;119671;0.5749;119671;0.5749;119671;0.5749;119671;0.5749
X-n1001-k43;72359;73642;1.7731;73696;1.8477;73669;1.8104;73651;1.7855;73649;1.7828
