Instance;bks;Objective_0;Gap_0;Objective_1;Gap_1;Objective_2;Gap_2;Objective_3;Gap_3;Objective_4;Gap_4
X-n101-k25;27591;27591;0;27591;0;27591;0;27591;0;27591;0
X-n106-k14;26362;26381;0.0721;26381;0.0721;26381;0.0721;26381;0.0721;26381;0.0721
X-n110-k13;14971;14971;0;14971;0;14971;0;14971;0;14971;0
X-n115-k10;12747;12756;0.0706;12756;0.0706;12756;0.0706;12756;0.0706;12756;0.0706
X-n120-k6;13332;13332;0;13332;0;13332;0;13332;0;13332;0
X-n125-k30;55539;56284;1.3414;56284;1.3414;56284;1.3414;56284;1.3414;56284;1.3414
X-n129-k18;28940;29009;0.2384;29009;0.2384;29009;0.2384;29009;0.2384;29009;0.2384
X-n134-k13;10916;10916;0;10916;0;10916;0;10916;0;10916;0
X-n139-k10;13590;13590;0;13590;0;13590;0;13590;0;13590;0
X-n143-k7;15700;15876;1.121;15876;1.121;15876;1.121;15876;1.121;15876;1.121
X-n148-k46;43448;43694;0.5662;43694;0.5662;43694;0.5662;43694;0.5662;43694;0.5662
X-n153-k22;21220;21380;0.754;21380;0.754;21380;0.754;21380;0.754;21380;0.754
X-n157-k13;16876;16876;0;16876;0;16876;0;16876;0;16876;0
X-n162-k11;14138;14171;0.2334;14171;0.2334;14171;0.2334;14171;0.2334;14171;0.2334
X-n167-k10;20557;20609;0.253;20609;0.253;20609;0.253;20609;0.253;20609;0.253
X-n172-k51;45607;45717;0.2412;45717;0.2412;45717;0.2412;45717;0.2412;45717;0.2412
X-n176-k26;47812;48289;0.9977;48289;0.9977;48289;0.9977;48289;0.9977;48289;0.9977
X-n181-k23;25569;25630;0.2386;25630;0.2386;25630;0.2386;25630;0.2386;25630;0.2386
X-n186-k15;24145;24228;0.3438;24228;0.3438;24228;0.3438;24228;0.3438;24228;0.3438
X-n190-k8;16980;17023;0.2532;17023;0.2532;17023;0.2532;17023;0.2532;17023;0.2532
X-n195-k51;44225;44492;0.6037;44492;0.6037;44492;0.6037;44492;0.6037;44492;0.6037
X-n200-k36;58578;59757;2.0127;59757;2.0127;59757;2.0127;59757;2.0127;59757;2.0127
X-n204-k19;19565;19748;0.9353;19748;0.9353;19748;0.9353;19748;0.9353;19748;0.9353
X-n209-k16;30656;30748;0.3001;30748;0.3001;30748;0.3001;30748;0.3001;30748;0.3001
X-n214-k11;10856;11082;2.0818;11082;2.0818;11082;2.0818;11082;2.0818;11082;2.0818
X-n219-k73;117595;117707;0.0952;117707;0.0952;117707;0.0952;117707;0.0952;117707;0.0952
X-n223-k34;40437;40767;0.8161;40767;0.8161;40767;0.8161;40767;0.8161;40767;0.8161
X-n228-k23;25742;25799;0.2214;25799;0.2214;25799;0.2214;25799;0.2214;25799;0.2214
X-n233-k16;19230;19296;0.3432;19296;0.3432;19296;0.3432;19296;0.3432;19296;0.3432
X-n237-k14;27042;27155;0.4179;27155;0.4179;27155;0.4179;27155;0.4179;27155;0.4179
X-n242-k48;82751;83300;0.6634;83300;0.6634;83300;0.6634;83300;0.6634;83300;0.6634
X-n247-k50;37274;37957;1.8324;37957;1.8324;37957;1.8324;37957;1.8324;37957;1.8324
X-n251-k28;38684;38913;0.592;38913;0.592;38913;0.592;38913;0.592;38913;0.592
X-n256-k16;18839;18880;0.2176;18880;0.2176;18880;0.2176;18880;0.2176;18880;0.2176
X-n261-k13;26558;26948;1.4685;26948;1.4685;26948;1.4685;26948;1.4685;26948;1.4685
X-n266-k58;75478;76188;0.9407;76188;0.9407;76188;0.9407;76188;0.9407;76188;0.9407
X-n270-k35;35291;35615;0.9181;35615;0.9181;35615;0.9181;35615;0.9181;35615;0.9181
X-n275-k28;21245;21302;0.2683;21300;0.2589;21302;0.2683;21302;0.2683;21302;0.2683
X-n280-k17;33503;33816;0.9342;33816;0.9342;33816;0.9342;33816;0.9342;33816;0.9342
X-n284-k15;20215;20421;1.019;20411;0.9696;20417;0.9993;20421;1.019;20421;1.019
X-n289-k60;95151;95985;0.8765;95985;0.8765;95985;0.8765;95949;0.8387;95966;0.8565
X-n294-k50;47161;47503;0.7252;47503;0.7252;47503;0.7252;47503;0.7252;47503;0.7252
X-n298-k31;34231;34463;0.6777;34463;0.6777;34463;0.6777;34463;0.6777;34463;0.6777
X-n303-k21;21736;21962;1.0397;21962;1.0397;21962;1.0397;21962;1.0397;21962;1.0397
X-n308-k13;25859;26371;1.98;26371;1.98;26371;1.98;26371;1.98;26371;1.98
X-n313-k71;94043;95186;1.2154;95186;1.2154;95186;1.2154;95186;1.2154;95186;1.2154
X-n317-k53;78355;78456;0.1289;78456;0.1289;78456;0.1289;78456;0.1289;78456;0.1289
X-n322-k28;29834;30196;1.2134;30196;1.2134;30196;1.2134;30196;1.2134;30196;1.2134
X-n327-k20;27532;27811;1.0134;27811;1.0134;27811;1.0134;27811;1.0134;27811;1.0134
X-n331-k15;31102;31239;0.4405;31239;0.4405;31239;0.4405;31239;0.4405;31239;0.4405
X-n336-k84;139111;140800;1.2141;140713;1.1516;140868;1.263;140719;1.1559;140713;1.1516
X-n344-k43;42050;42489;1.044;42489;1.044;42489;1.044;42489;1.044;42489;1.044
X-n351-k40;25896;26221;1.255;26221;1.255;26221;1.255;26221;1.255;26194;1.1508
X-n359-k29;51505;51865;0.699;51865;0.699;51861;0.6912;51861;0.6912;51861;0.6912
X-n367-k17;22814;23151;1.4772;23144;1.4465;23151;1.4772;23151;1.4772;23151;1.4772
X-n376-k94;147713;147895;0.1232;147895;0.1232;147895;0.1232;147895;0.1232;147895;0.1232
X-n384-k52;65940;66587;0.9812;66587;0.9812;66587;0.9812;66587;0.9812;66587;0.9812
X-n393-k38;38260;38596;0.8782;38596;0.8782;38596;0.8782;38596;0.8782;38596;0.8782
X-n401-k29;66163;66587;0.6408;66587;0.6408;66587;0.6408;66587;0.6408;66587;0.6408
X-n411-k19;19712;20014;1.5321;20014;1.5321;20014;1.5321;20014;1.5321;20019;1.5574
X-n420-k130;107798;108316;0.4805;108316;0.4805;108316;0.4805;108316;0.4805;108316;0.4805
X-n429-k61;65449;66220;1.178;66073;0.9534;66220;1.178;66220;1.178;66220;1.178
X-n439-k37;36391;36523;0.3627;36523;0.3627;36523;0.3627;36523;0.3627;36523;0.3627
X-n449-k29;55233;56038;1.4575;56038;1.4575;56038;1.4575;56038;1.4575;55979;1.3506
X-n459-k26;24139;24822;2.8294;24822;2.8294;24822;2.8294;24822;2.8294;24822;2.8294
X-n469-k138;221824;224922;1.3966;224922;1.3966;224922;1.3966;224922;1.3966;224940;1.4047
X-n480-k70;89449;90006;0.6227;90010;0.6272;90010;0.6272;90010;0.6272;90010;0.6272
X-n491-k59;66487;67118;0.9491;67118;0.9491;67118;0.9491;67118;0.9491;67118;0.9491
X-n502-k39;69226;69366;0.2022;69363;0.1979;69366;0.2022;69384;0.2282;69366;0.2022
X-n513-k21;24201;24452;1.0371;24449;1.0248;24454;1.0454;24454;1.0454;24449;1.0248
X-n524-k153;154593;156766;1.4056;156766;1.4056;156766;1.4056;156766;1.4056;156766;1.4056
X-n536-k96;94868;95905;1.0931;95905;1.0931;95905;1.0931;95905;1.0931;95905;1.0931
X-n548-k50;86700;87059;0.4141;87059;0.4141;87059;0.4141;87059;0.4141;87059;0.4141
